PCT,CRIME,2019,2020,2021,2022,2023
28,OTHER MISDEMEANORS (8),274,133,166,203,206
28,TOTAL MISDEMEANOR OFFENSES,3110,2378,2782,2983,2820
30,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,4,3,7,6,10
30,MISDEMEANOR SEX CRIMES (4),42,29,28,54,52
30,MISDEMEANOR DANGEROUS DRUGS  (1),51,42,85,95,64
30,MISDEMEANOR DANGEROUS WEAPONS (5)               ,13,17,9,30,19
30,PETIT LARCENY                         ,840,842,891,1120,774
30,ASSAULT 3 AND RELATED OFFENSES        ,372,299,322,339,331
30,INTOXICATED & IMPAIRED DRIVING              ,60,22,36,43,36
30,VEHICLE AND TRAFFIC LAWS              ,39,41,56,74,141
30,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,345,371,391,321,349
30,CRIMINAL TRESPASS,29,13,6,16,6
30,UNAUTHORIZED USE OF A VEHICLE           ,3,4,4,16,10
30,OFFENSES AGAINST THE PERSON (7)      ,13,8,16,22,16
30,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),94,81,113,112,86
30,ADMINISTRATIVE CODE (6)            ,6,8,5,10,4
30,FRAUDS (3)                    ,49,26,65,103,104
30,AGGRAVATED HARASSMENT 2               ,152,156,172,163,165
30,OTHER MISDEMEANORS (8),136,128,135,162,232
30,TOTAL MISDEMEANOR OFFENSES,2248,2090,2341,2686,2399
32,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,10,8,9,6,8
32,MISDEMEANOR SEX CRIMES (4),78,45,84,86,91
32,MISDEMEANOR DANGEROUS DRUGS  (1),174,88,124,87,85
32,MISDEMEANOR DANGEROUS WEAPONS (5)               ,43,24,23,14,36
32,PETIT LARCENY                         ,776,783,772,838,889
32,ASSAULT 3 AND RELATED OFFENSES        ,636,531,618,595,630
32,INTOXICATED & IMPAIRED DRIVING              ,49,26,31,22,17
32,VEHICLE AND TRAFFIC LAWS              ,55,72,89,122,166
32,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,487,539,491,416,363
32,CRIMINAL TRESPASS,198,89,87,65,30
32,UNAUTHORIZED USE OF A VEHICLE           ,8,12,10,5,8
32,OFFENSES AGAINST THE PERSON (7)      ,33,23,13,22,15
32,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),158,42,126,127,146
32,ADMINISTRATIVE CODE (6)            ,20,9,6,8,2
32,FRAUDS (3)                    ,37,15,53,56,104
32,AGGRAVATED HARASSMENT 2               ,273,248,274,295,273
32,OTHER MISDEMEANORS (8),235,206,241,262,291
32,TOTAL MISDEMEANOR OFFENSES,3270,2760,3051,3026,3154
33,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,5,6,10,8,10
33,MISDEMEANOR SEX CRIMES (4),41,30,49,52,58
33,MISDEMEANOR DANGEROUS DRUGS  (1),204,97,52,51,148
33,MISDEMEANOR DANGEROUS WEAPONS (5)               ,10,7,7,13,24
33,PETIT LARCENY                         ,807,712,1589,1296,918
33,ASSAULT 3 AND RELATED OFFENSES        ,361,307,413,400,369
33,INTOXICATED & IMPAIRED DRIVING              ,44,21,16,24,19
33,VEHICLE AND TRAFFIC LAWS              ,54,69,77,141,140
33,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,382,345,314,279,282
33,CRIMINAL TRESPASS,44,39,15,15,10
33,UNAUTHORIZED USE OF A VEHICLE           ,6,5,5,7,11
33,OFFENSES AGAINST THE PERSON (7)      ,11,7,15,22,16
33,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),48,36,51,52,63
33,ADMINISTRATIVE CODE (6)            ,8,4,7,11,6
33,FRAUDS (3)                    ,23,47,44,22,21
33,AGGRAVATED HARASSMENT 2               ,122,99,115,130,109
33,OTHER MISDEMEANORS (8),141,98,184,195,251
33,TOTAL MISDEMEANOR OFFENSES,2311,1929,2963,2718,2455
34,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,9,6,8,5,33
34,MISDEMEANOR SEX CRIMES (4),49,38,43,52,79
34,MISDEMEANOR DANGEROUS DRUGS  (1),126,83,42,64,132
34,MISDEMEANOR DANGEROUS WEAPONS (5)               ,36,18,13,21,67
34,PETIT LARCENY                         ,1055,974,956,1490,1419
34,ASSAULT 3 AND RELATED OFFENSES        ,513,393,409,458,532
34,INTOXICATED & IMPAIRED DRIVING              ,93,29,19,33,36
34,VEHICLE AND TRAFFIC LAWS              ,89,92,126,225,246
34,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES  ,344,356,293,352,303
34,CRIMINAL TRESPASS,36,16,12,14,12
34,UNAUTHORIZED USE OF A VEHICLE           ,15,16,8,13,20
34,OFFENSES AGAINST THE PERSON (7)      ,42,26,21,19,44
34,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),113,138,87,118,168
34,ADMINISTRATIVE CODE (6)            ,9,10,9,13,2
34,FRAUDS (3)                    ,53,25,24,39,155
34,AGGRAVATED HARASSMENT 2               ,214,170,197,218,205
34,OTHER MISDEMEANORS (8),170,140,177,259,278
34,TOTAL MISDEMEANOR OFFENSES,2966,2530,2444,3393,3731
40,MISDEMEANOR POSSESSION OF STOLEN PROPERTY            ,20,18,11,16,17
40,MISDEMEANOR SEX CRIMES (4),142,100,134,144,221
40,MISDEMEANOR DANGEROUS DRUGS  (1),1263,382,226,322,426
40,MISDEMEANOR DANGEROUS WEAPONS (5)               ,99,62,45,47,88
40,PETIT LARCENY                         ,1784,1598,1417,1953,1645
40,ASSAULT 3 AND RELATED OFFENSES        ,1345,1062,948,1054,1143
