the_geom,SYSTEM,GISPROPNUM,BOROUGH,NAME,SHAPE_STAr,SHAPE_STLe
"MULTIPOLYGON (((-73.7909797418428 40.58812773952115, -73.79055692803234 40.58821031777269, -73.79027323337112 40.58828326070688, -73.7902608940985 40.58828665567966, -73.79009496286558 40.588338507532505, -73.78985952045649 40.58767434637088, -73.78992316998232 40.587667546720624, -73.7899664421822 40.58765771644025, -73.78999337383236 40.587657463990226, -73.7900108288594 40.58765971929, -73.79003210361296 40.58766096577399, -73.79005677070973 40.587659253921046, -73.79015675297507 40.58764815567185, -73.79019556502088 40.58763675294616, -73.79023424628262 40.58763276129698, -73.79027483667883 40.587628306647005, -73.79030735806414 40.58762498993048, -73.79035345284575 40.58762208249571, -73.79039542116483 40.5876144181413, -73.79044278309166 40.58759767910308, -73.79048292971501 40.587585565497875, -73.7906096888112 40.587554203415095, -73.79065554199728 40.58754808414352, -73.79069690300568 40.5875389372075, -73.7907386728726 40.58752559094828, -73.79077487378623 40.5875150855986, -73.7909797418428 40.58812773952115)))",Q162-ZN04A-BCH0091,Q162,Q,Rockaway Beach,59740.4400787,1001.95496917
"MULTIPOLYGON (((-73.79009496286558 40.588338507532505, -73.78925334037933 40.58860149825262, -73.78923217282438 40.58860811431306, -73.78871783070008 40.58745973667759, -73.7885175277976 40.58701250827218, -73.78853760301782 40.58700528968201, -73.78855403197089 40.58700175203246, -73.78857171979776 40.58699868316944, -73.78859422421765 40.58699798344452, -73.78861141712434 40.58700312015842, -73.78862291763528 40.58700978359576, -73.78863431285743 40.58702657505436, -73.78866716248334 40.58713596203724, -73.7887049715127 40.58725302340669, -73.78872396029709 40.58731181584395, -73.78876441748538 40.58745400763608, -73.78878922975001 40.58754120975391, -73.78880559739264 40.58759108575271, -73.78881990564783 40.58763179060965, -73.78882578106881 40.587641133558535, -73.78883417409708 40.58765146901095, -73.78884482955249 40.58766318192251, -73.78885345822304 40.587666985391216, -73.78886043845588 40.587668370619554, -73.7888840807853 40.587660893769154, -73.78891056992478 40.58765265309463, -73.78893653247013 40.58765143735028, -73.78897244708311 40.58765688395878, -73.7890049326978 40.5876652878903, -73.78904219463567 40.58767724054943, -73.7890746803544 40.58768561744563, -73.78910865287298 40.58769037334509, -73.78914204592546 40.58769608903225, -73.78937698994572 40.58770181683373, -73.78953292313949 40.5877017738716, -73.7897390204506 40.58768721957637, -73.78985952045649 40.58767434637088, -73.79009496286558 40.588338507532505)))",Q162-ZN04A-BCH0097,Q162,Q,Rockaway Beach,84746.055603,1688.48792626
"MULTIPOLYGON (((-73.78923217282438 40.58860811431306, -73.78891841325554 40.58870615404283, -73.78846922290641 40.58884730669926, -73.78795589946948 40.58798617730512, -73.78800886258232 40.58797202060712, -73.78806824972312 40.58795547493149, -73.78812734695403 40.58793833524405, -73.78818614245284 40.587920604224976, -73.78824462793823 40.58790228546158, -73.78830279158808 40.58788338163418, -73.788360623937 40.58786389722841, -73.78842355244916 40.587839453075375, -73.7884861117331 40.58781446429048, -73.78849394877044 40.58781124672911, -73.78854829351062 40.58778893356081, -73.78861008950349 40.58776286357322, -73.78867149142506 40.58773625971626, -73.78867938943506 40.58773467220637, -73.78868707059945 40.58773255298686, -73.78869447107775 40.587729919050275, -73.78870153292722 40.58772679010178, -73.78870819936633 40.58772319215223, -73.78871441597035 40.58771915301795, -73.78872013420089 40.58771470682973, -73.788725307879 40.58770988862324, -73.7887298955423 40.58770473614441, -73.7887338592578 40.58769929164828, -73.7886763771774 40.58755777365028, -73.7886444892246 40.58747663254052, -73.78864330572053 40.5874736199052, -73.78861980198114 40.587413814162545, -73.78857151297258 40.58723451614207, -73.78849235466576 40.5870479984944, -73.78849677617357 40.58702742060858, -73.7885120832688 40.58701446590041, -73.7885175277976 40.58701250827218, -73.78871783070008 40.58745973667759, -73.78923217282438 40.58860811431306)))",Q162-ZN04A-BCH0075,Q162,Q,Rockaway Beach,89688.4794006,1692.18267258
"MULTIPOLYGON (((-73.78846922290641 40.58884730669926, -73.78766625330007 40.589099619085765, -73.7870849237364 40.588185480329855, -73.78719075965604 40.5881619907614, -73.78741901084936 40.58811064563916, -73.78764701681904 40.588058669242514, -73.78770792940684 40.58804574398488, -73.78776861475001 40.5880322086192, -73.78782906102613 40.58801806582551, -73.78788925759132 40.58800331918677, -73.78794919499134 40.587987969586315, -73.78795589946948 40.58798617730512, -73.78846922290641 40.58884730669926)))",Q162-ZN04A-BCH0126,Q162,Q,Rockaway Beach,87539.5013733,1208.54004965
"MULTIPOLYGON (((-73.78766625330007 40.589099619085765, -73.78654294080494 40.589452578240504, -73.7865425647889 40.589452695510865, -73.78588690382406 40.588346868917945, -73.78595107588785 40.588339526721406, -73.7860349414015 40.5883292971548, -73.78611867185339 40.58831844681319, -73.78620226015109 40.58830697658423, -73.7862856991962 40.58829488915666, -73.78633835712792 40.588292127915885, -73.78639095435675 40.58828877038997, -73.78644348143722 40.58828481476031, -73.78649592418162 40.58828026460285, -73.78654827314146 40.58827511899959, -73.78660051531908 40.58826937882705, -73.78665264007039 40.58826304766768, -73.7867046355846 40.58825612459925, -73.78675648885816 40.58824861229932, -73.78680819043704 40.58824051165114, -73.7868597284961 40.58823182623502, -73.78691109004046 40.58822255602711, -73.78696226561046 40.588212703711704, -73.7870849237364 40.588185480329855, -73.78766625330007 40.589099619085765)))",Q162-ZN04A-BCH0125,Q162,Q,Rockaway Beach,133580.841904,1488.25148294
"MULTIPOLYGON (((-73.7865425647889 40.589452695510865, -73.78580745497953 40.58967774497587, -73.78514564129266 40.58859288044113, -73.7850619885383 40.588455753089626, -73.78514812057455 40.588441661551016, -73.78524109485767 40.5884270406199, -73.78533421848044 40.58841298542291, -73.78542748671443 40.58839949775193, -73.78552089365563 40.58838657759552, -73.78561443221612 40.58837422584075, -73.78569875524407 40.58836648642677, -73.78578297512448 40.588358122694146, -73.78586708476176 40.588349136430935, -73.78588690382406 40.588346868917945, -73.7865425647889 40.589452695510865)))",Q162-ZN04A-BCH0111,Q162,Q,Rockaway Beach,104140.370453,1385.77148545
"MULTIPOLYGON (((-73.78580745497953 40.58967774497587, -73.78486701378105 40.58996565122572, -73.78398908792364 40.588688469520875, -73.78401183612469 40.5886819807686, -73.78408027488592 40.58866310289314, -73.78414897638122 40.58864479010029, -73.7842179346943 40.5886270459806, -73.78428714155224 40.58860987231909, -73.78435658750078 40.58859327089869, -73.7844262654484 40.588577243506656, -73.78449616593808 40.58856179282639, -73.78456628306236 40.58854691974702, -73.78463660736716 40.58853262605142, -73.78470187074066 40.588519936572624, -73.78470712939561 40.588518914423034, -73.78477784324033 40.58850578575104, -73.78487015755591 40.58848890986709, -73.78496264601678 40.588472597063706, -73.785055302719 40.588456847329404, -73.7850619885383 40.588455753089626, -73.78580745497953 40.58967774497587)))",Q162-ZN03B-BCH0077,Q162,Q,Rockaway Beach,149844.753418,1607.89488421
"MULTIPOLYGON (((-73.78486701378105 40.58996565122572, -73.78385568857752 40.59027524521863, -73.78383415022004 40.590281859588124, -73.7829962952838 40.58899043452499, -73.78307022058026 40.588972952621006, -73.78314541690473 40.588956186284896, -73.78319976131664 40.58894099970402, -73.78324527560974 40.58892843228032, -73.78328224962556 40.58891798928158, -73.7834758948467 40.58885272041153, -73.7835408364052 40.58882978660153, -73.78360720199339 40.58880701122764, -73.78367388823895 40.58878478483952, -73.78374088568462 40.588763110120304, -73.78380818723262 40.58874199065827, -73.7838757846127 40.588721427337795, -73.7839436707272 40.58870142374718, -73.78398908792364 40.588688469520875, -73.78486701378105 40.58996565122572)))",Q162-ZN03B-BCH0076,Q162,Q,Rockaway Beach,157925.331573,1656.52968151
"MULTIPOLYGON (((-73.78383415022004 40.590281859588124, -73.78377829590967 40.59029901307771, -73.78222920185505 40.59048656691485, -73.78219069849746 40.59049692742995, -73.78184682050819 40.58923575128725, -73.78181594853352 40.589122526269584, -73.78183517406997 40.589120535689936, -73.78186671708268 40.58911946991758, -73.78191309458543 40.589118679937826, -73.78196044773661 40.58911646355645, -73.7821100431061 40.58910670195943, -73.78213340586896 40.58910999445642, -73.7821592032668 40.58911362926165, -73.78219764355578 40.58911765454054, -73.78224719576784 40.58911448224863, -73.78227272373982 40.5891112662165, -73.78229039549406 40.58910904028082, -73.78229549824985 40.58910839796806, -73.78233810708838 40.589103758131934, -73.78238640553111 40.58909890842667, -73.78243502136793 40.58909598102456, -73.78248584020086 40.58909089020609, -73.78253765157675 40.58907954168742, -73.78259263606003 40.58906702036069, -73.78263497467726 40.58905683446422, -73.78268234731904 40.589048607711895, -73.78271865925203 40.58904274731946, -73.78275842902515 40.589036426980606, -73.78298017532228 40.58899424662473, -73.7829962952838 40.58899043452499, -73.78383415022004 40.590281859588124)))",Q162-ZN03B-BCH0092,Q162,Q,Rockaway Beach,198696.700409,1833.77864748
"MULTIPOLYGON (((-73.78219069849746 40.59049692742995, -73.78138107285706 40.590714809347006, -73.78135092356035 40.59072291885122, -73.78099824493208 40.58940902283855, -73.78096190104617 40.58927362071357, -73.78099536121387 40.589264305513936, -73.78104316346602 40.589251614547216, -73.78109121078063 40.589239473348314, -73.78113949134034 40.58922788369556, -73.78115162481664 40.58922512327976, -73.7811879956904 40.58921684737167, -73.78123671082629 40.589206367953736, -73.7812856272933 40.5891964472245, -73.78133473445237 40.58918708786505, -73.78158010025957 40.58914741629248, -73.78165051752828 40.58913904105548, -73.78170035567247 40.58913658365979, -73.78175275973977 40.58913152319283, -73.78179951761098 40.58912422768095, -73.78181594853352 40.589122526269584, -73.78184682050819 40.58923575128725, -73.78219069849746 40.59049692742995)))",Q162-ZN03B-BCH0098,Q162,Q,Rockaway Beach,129426.856979,1541.89744265
